,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_z,ban_rate_z,interaction,tier_score_z
Floryn,54.19,0.8,51.76,1.6396214924669639,-0.03594661034231064,3.522794754105254,-0.058938834898587776,1.5149932229901064
Diggie,55.23,0.58,10.53,2.056233437924475,-0.4362814740716096,0.430694329752397,-0.8970965553330236,1.3686931547662469
Minotaur,55.43,0.81,1.9,2.1363511197432286,-0.017749571081887953,-0.21652436202944036,-0.037919316055753355,1.2524784879821997
Angela,51.24,1.45,69.64,0.4578856856403704,1.146860941585163,4.8637298884110765,0.5251312085718831,1.1859798883277979
Guinevere,53.82,1.85,34.54,1.4914037811022733,1.8747425120020702,2.2313572254281695,2.7959980709930616,1.1390318662774948
Lolita,54.31,0.46,4.82,1.6876921015582171,-0.6546459451966816,0.0024650446916448555,-1.104840791025553,1.070291689544617
Rafaela,53.84,1.24,19.26,1.4994155492841499,0.7647231171162868,1.0854126587507102,1.1466377327012045,1.0243144611219273
Wanwan,53.6,1.45,19.93,1.4032743311016465,1.146860941585163,1.1356602281010961,1.609360520669524,0.9771567641385381
Popol and Kupa,53.97,0.77,1.12,1.551492042466337,-0.09053772812357871,-0.2750215323179494,-0.14046856472671307,0.8951012765465577
Argus,53.79,0.29,0.1,1.47938612882946,-0.963995612623867,-0.3515178319259998,-1.4261217375682065,0.8791294468664506
Valir,50.89,1.93,30.67,0.3176797424575535,2.020318826085451,1.9411212651505672,0.6418143643529729,0.8584928688978855
Hanabi,51.81,3.04,3.47,0.6862210788238143,4.040190183992368,-0.09878005773077468,2.7724636667126275,0.8524704512902389
Nolan,50.32,0.77,75.75,0.08934434927410953,-0.09053772812357871,5.321957722337731,-0.008089034403957387,0.8308836427650222
Franco,46.37,2.55,4.67,-1.492979866646248,3.1485352602316565,-0.008784411133068453,-4.700699752951668,0.8301681839905388
Zhask,53.67,0.7,0.27,1.4313155197382097,-0.21791700294653754,-0.33876844865799133,-0.31190798833221633,0.815876391474036
Odette,53.69,0.82,0.16,1.4393272879200834,0.00044746817853453375,-0.34701804959611443,0.0006440531598406502,0.8115267217252984
Terizla,53.67,1.66,4.89,1.4313155197382097,1.528998766054039,0.007714790743177675,2.1884796635137183,0.8045002892651685
Khaleed,53.38,0.57,2.43,1.3151448811010193,-0.4544785133320323,-0.1767762847821201,-0.5977050903790236,0.7684918756860902
Harley,52.25,1.26,14.76,0.8624799788250683,0.8011171956371322,0.7479289840093115,0.6909475419295119,0.6917671254198184
Lancelot,46.94,2.41,1.98,-1.264644473462804,2.89377671058574,-0.21052465225625994,-3.659598724477628,0.6649985406258393
Aldous,52.77,1.31,1.7,1.0707859515538254,0.8921023919392457,-0.23152363646239138,0.9552507086361088,0.6397184817205263
Gord,52.95,0.88,0.14,1.1428918651907023,0.10962970374107067,-0.34851797703940957,0.12529489658893636,0.6358058691759904
Ixia,52.83,0.8,2.99,1.094821256099449,-0.03594661034231064,-0.13477831636985718,-0.03935511308748598,0.6355603762361104
Luo Yi,52.96,0.66,0.27,1.146897749281639,-0.2907051599882281,-0.33876844865799133,-0.3334090936950576,0.6313289110122393
Phoveus,52.98,0.19,0.23,1.1549095174635127,-1.1459660052280938,-0.34176830354458154,-1.323487046127567,0.6198863728649103
Belerick,52.76,0.72,0.67,1.0667800674628858,-0.18152292442569215,-0.3087698997920893,-0.1936450375649002,0.587100831915475
Chang'e,51.8,1.74,2.89,0.6822151947328747,1.6745750801374206,-0.1422779535863327,1.1424205643907697,0.5781470809579762
Bruno,52.21,1.6,0.66,0.8464564424613182,1.4198165304915034,-0.3095198635137368,1.2018128493476097,0.5760374487030842
Moskov,51.34,1.88,2.78,0.4979445265497471,1.9293336297833377,-0.1505275545244558,0.9607011208389691,0.5663807660292205
Masha,52.72,0.15,0.19,1.0507565310991356,-1.2187541622697844,-0.34476815843117176,-1.2806138958092317,0.5301729334892058
Cyclops,52.47,0.9,0.1,0.9506094288256953,0.14602378226191604,-0.3515178319259998,0.1388115842509677,0.5263816112218027
Lylia,52.12,0.85,0.16,0.8104034856428783,0.0550385859598026,-0.34701804959611443,0.04460346190667921,0.4390283380549246
Ruby,52.23,0.67,0.14,0.8544682106431919,-0.2725081207278054,-0.34851797703940957,-0.23284952630402678,0.4388461049088577
Aamon,52.29,0.53,0.3,0.8785035151888184,-0.5272666703737229,-0.3365185574930487,-0.4632056233652196,0.4374487825689469
Martis,49.18,1.79,12.07,-0.36732643709277835,1.765560276439534,0.5461887428861201,-0.6485369658170748,0.4326299114505494
Yi Sun-shin,52.39,0.26,0.04,0.9185623560981951,-1.018586730405135,-0.356017614255885,-0.935635426971298,0.4302151743135102
Brody,51.1,1.56,0.44,0.40180330836724365,1.3470283734498125,-0.32601906538998293,0.5412404569166817,0.4206881271909656
Roger,51.36,1.23,5.05,0.5059562947316207,0.7465260778558642,0.019714210289538518,0.3777095682724825,0.41762051419187274
Bane,52.23,0.4,0.06,0.8544682106431919,-0.7638281807592177,-0.35451768681259,-0.6526668988521732,0.3990796079446569
Alpha,50.58,1.64,1.62,0.19349733563848662,1.4926046875331935,-0.2375233462355718,0.2888150301991888,0.3958580652912168
Benedetta,52.08,0.6,0.35,0.7943799492791283,-0.39988739555076425,-0.33276873888481096,-0.3176625289949788,0.39027331564606
Hylos,52.24,0.3,0.06,0.8584740947341315,-0.9457985733634443,-0.35451768681259,-0.811943574069016,0.3878458752915326
Tigreal,51.05,1.45,1.04,0.38177388791255384,1.146860941585163,-0.28102124209112983,0.43784156056401996,0.3860580697173496
Aulus,52.27,0.18,0.04,0.8704917470069448,-1.1641630444885165,-0.356017614255885,-1.0133943223977322,0.38053050942320144
Gatotkaca,51.38,0.96,0.35,0.5139680629134972,0.25520601782445196,-0.33276873888481096,0.131167742625101,0.2960334828464694
